Year;Month;Date;Level;Label;Policies;Code;Relevance;Comment;last amended
2010;March;1;Germany;BNatSchG;Act on Nature Conservation and Landscape Management;;;;May 2019
2010;October;29;UN;;Aichi Biodiversity Targets;UNEP/CBD/COP/DEC/X/2;;;
2010;November;18;EU;;New Common Agricultural Policy;COM/2010/672;;CAP;
2010;November;24;EU;;Industrial Emissions Directive (IED);2010/75/EU;;;
2010;;;international;;International Year of Biodiversity;;event;;
2010;;;Germany;;Federal Programme for Organic and Sustainable Farming (BÖLN);;;BÖL;
2010;;;Germany;;Tool Soil and Groundwater Protection (AH BoGwS);;;renewed in 2014;2018
2011;March;9;EU;;Construction Products Regulation (CPR);EU/305/2011;;;
2011;May;;EU;BD '20;Biodiversity Strategy for 2020;COM/2011/0244;;;
2011;June;28;EU;;Rewilding Europe;;;;
2011;September;20;EU;;Roadmap to Resource Efficient Europe;COM/2011/0571;;;
2011;September;27;international;GSBI;Global Soil Biodiversity Initiative;;association;;
2011;November;30;EU;H2020;Horizon 2020 programme;COM/2011/0808;funding;;
2011;December;13;EU;;Environmental Impact Assessment (EIA) Directive;2011/92/EU;;;Apr 14
2011;;;EU;;Ecological Function and Biodiversity Indicators in European Soils (EcoFINDERS);ENV.2010.2.1.4-4;;until 2014;
2012;February;24;Germany;;Circular Economy Act and connected Ordinances (KrWG);;;;July 2017
2012;May;15;EU;;Guidelines on best practice to limit, mitigate or compensate Soil Sealing;SWD/2012/101/2;;;
2012;May;22;EU;;Regulation on biocide products;EC/528/2012;;;
2012;June;;UN;;Conference on Sustainable Development;;event;"Rio de Janeiro, ""The Future We Want""";
2012;;;international;GSP;Global Soil Partnerships;;;;
2012;;;international;IPBES;Intergovernmental Science Policy Platform on Biodiversity and Ecosystem Services;;association;;
2012;;;international;;Global Soil Week;;event;;2017
2012;;;Germany;;Fertiliser Ordinance (DüMG);;;;May 2017
2013;April;16;EU;;EU Strategy on Adaptation to Climate Change;COM/2013/0216;climate;;
2013;May;6;EU;;Green Infrastructure (GI) Strategy;COM/2013/249;;;
2013;May;21;EU;;Land Use, Land-use Change and Forestry (LULUCF) Decision;529/2013/EU;;draft in 1963;
2013;October;10;EU;;Minamata Convention on Mercury;;event;;
2013;November;20;EU;;7th Environmental Action Programme (EAP);1386/2013/EU;;;
2013;December;17;EU;DP;CAP Direct Payments;EU/1307/2013;funding;CAP;
2013;December;17;EU;;Cohesion Fund (CF);EU/1303/2013;funding;;
2013;December;17;EU;;European Regional Development Fund (ERDF);EU/1301/2013;funding;;
2013;December;17;EU;;European Social Fund (ESF);EU/1304/2013;funding;;
2013;December;17;EU;GAEC;Good Agricultural and Environmental Conditions;EU/1306/2013;;;
2013;December;17;EU;;CAP Cross-Compliance Rules;EU/1306/2013;funding;CAP;
2013;;;international;ITPS;Intergovernmental Technical Panel on Soils;;association;GSP;
2013;;;Germany;;Federal Immission Control Ordinance (BImSchV);;;;
2013;;;Germany;;Staff Unit Soil at Thünen Institute;;;;
2007;June;9;EU;;LIFE pomouvoir l’union soutenable (LIFE+);EG/614/2007;funding;;
2014;May;21;EU;;Withdrawal of Soil Framework Directive;;;bad;
2014;July;1;EU;;Guidelines on State Aid for Environmental Protection and Energy;OJ/C/200;funding;;
2014;December;5;UN;;World Soil Day (WSD);;event;;
2014;;;Germany;;"2000sqm, Project World Field (""Weltacker"")";;awareness raising;;
2014;;;Germany;;CAP Rural Development Programm;EU/1305/2013;funding;CAP;
2013;December;20;EU;;LIFE 2014-2020 Regulation;EC/1293/2013;funding;;
2014;;;Germany;;EDAPHOBASE;;Soil Information Systems;GBIF;
2015;January;1;UN;IYS;International Year of Soil;;event;;
2015;June;22;EU;;Knowledge innovation project on the Integrated System of Natural Capital Accounting (KIP-INCA);;;;
2015;June;;international;new WSC;Revised World Soil Charter;;;FAO;
2015;September;25;UN;A2030;Agenda 2030 for Sustainable Development;A/RES/70/1;;;
2015;September;;Germany;;Database on soil science (FISBo BGR);;Soil Information Systems;;
2015;December;2;EU;;Circular Economy Action Plan;COM/2015/0614;;;
2015;December;12;UN;;Paris Agreement on climate change;;climate;;
2015;;;Germany;Soil Atlas;"""Atlas-Informationssystem""";;awareness raising;;
2015;;;Germany;;CAP GAEC Cross-compliance Standards (GLÖZ);EU/1306/2013;;CAP;
2015;;;Germany;;CAP Greening Payment Requirements;;;CAP;
2015;;;Germany;BonaRes;Soil as Sustainable Ressource for Bioeconomy;;funding;;
2015;;;international;;Status of the World’s Soil Resources by FAO & ITPS (SWSR);;publication;;
2016;February;2;EU;;Mercury Proposal;COM/2016/039;;;
2016;August;1;Germany;;Integrated Environmental Programme 2030;;publication;by BMUB;
2017;October;1;Germany;;Radiation Protection Act (StrlSchG);;;;October 2020
2017;December;14;Germany;;Ordinance on Nutrient-Flow Balances (StoffBilV);;;;
2017;;;UN;VGSSM;Voluntary Guidelines for Sustainable Soil Management;;;FAO;
2017;;;Germany;;Blue Belt Germany Programme (BBD);;event;;
2017;;;Germany;;Soil Protection Report;;publication;by BMU;
2018;January;;EU;;Nature-based solutions;;;;
2018;May;14;EU;;Regulation on inclusion of LULUCF in 2030 climate and energy framework;2016/0230/COD;;;
2018;November;18;EU;;Mapping and Assessment for Integrated ecosystem Accounting (MAIA);;;in progress;
2018;;;Germany;;BiodivERsA project Ecosystem services driven by the diversity of soil biota (SoilMan);;funding;;
2019;June;5;EU;;Fertiliser Regulation;EU/2019/1009;;;
2019;December;11;EU;Green Deal;European Green Deal;COM/2019/640;;;
2020;February;23;international;;World Soil Biodiversity Forum;;event;;
2020;March;11;EU;;New Circular Economy Action Plan;COM/2020/98;;;
2020;May;20;EU;BD '30;Biodiversity Strategy for 2030;COM/2020/380;;;
2020;August;17;EU;post-2020;post-2020 Global Biodiversity Framework;;;;
2020;September;17;EU;;2030 Climate Target Plan;COM/2020/562;climate;;
2020;October;14;EU;;Chemicals Strategy for Sustainability;COM/2020/667;;;
2013;x;x;EU;MAES;Mapping and Assessment of the State of Ecosystems and their Services;;;;
2020;October;22;EU;;EU Biodiversity Green Week;;event;;
2021;;;Germany;;Agricultural Soil Inventory (BZE-LW), 2. campaign;;;;
in prep.;;;Germany;;Soil Information System (ebis);;;;
in prep.;;;EU;;EUdaphobase;;;GBIF;
