word,translation,category,subcategory,soil.term,regex,definition.according.to.search.engine,reference,review,reviewer
bodengeograph,soil geography,protection,research,yes,[a-z]*bodengeograph[a-z]*,,,,MJ
bodengutachten,soil expert's report,protection,research,yes,[a-z]*bodengutachten[a-z]*,,,,LS
bodengute,soil quality,protection,research,yes,[a-z]*bodengute[a-z]*,,,,LS
bodeninformation,soil information,protection,research,yes,[a-z]*bodeninformation[a-z]*,,,,LS
bodenkapitel,soil chapter,protection,research,yes,[a-z]*bodenkapitel[a-z]*,,,,LS
bodenkart,soil mapping,protection,research,yes,[a-z]*bodenkart[a-z]*,,,,LS
bodenkdl,pedological,protection,research,yes,[a-z]*bodenkdl[a-z]*,"abbreviation for pedological (""bodenkundlich"")",,,LS
bodenkenntniss,soil knowledge,protection,research,yes,[a-z]*bodenkenntniss[a-z]*,,,,LS
bodenkultur,Science and technology of soil sustainability,protection,research,yes,[a-z]*bodenkultur[a-z]*,,,,LS
bodenkund,pedology,protection,research,yes,[a-z]*bodenkund[a-z]*,,,,LS
bodenlabor,soil laboratory,protection,research,yes,[a-z]*bodenlabor[a-z]*,,,,LS
bodenlehr,pedology,protection,research,yes,[a-z]*bodenlehr[a-z]*,,,,LS
bodenleitart,soil indicator species,protection,research,yes,[a-z]*bodenleitart[a-z]*,,,,LS
bodenleitmotiv,soil guiding theme,protection,research,yes,[a-z]*bodenleitmotiv[a-z]*,,,,LS
bodenmagazin,soil journal,protection,research,yes,[a-z]*bodenmagazin[a-z]*,,,alternative protection and managing,LS
bodenmess,soil measurement,protection,research,yes,[a-z]*bodenmess[a-z]*,,,,LS
bodenmodellierungen,soil modelling,protection,research,yes,[a-z]*bodenmodellierungen[a-z]*,,,,LS
bodenokologi,soil ecology,protection,research,yes,[a-z]*bodenokologi[a-z]*,,,,MS
bodenokotop,soil ecotope,protection,research,yes,[a-z]*bodenokotop[a-z]*,,https://wikidiff.com/ecotope/ecotype,,MS
bodenprobe,soil samples,protection,research,yes,[a-z]*bodenprobe[a-z]*,,,,MS
bodenprufpunkt,soil evaluation point,protection,research,yes,[a-z]*bodenprufpunkt[a-z]*,,,,MS
bodenpunkt,soil quality measure,protection,research,yes,[a-z]*bodenpunkt[a-z]*,"synonym for ""Ackerzahl""",,,MS
bodenqualitat,soil quality,protection,research,yes,[a-z]*bodenqualitat[a-z]*,,,,MS
bodensondierung,soil probing,protection,research,yes,[a-z]*bodensondierung[a-z]*,,,,MS
bodensystem,soil systematics,protection,research,yes,[a-z]*bodensystem[a-z]*,,,,
bodenthem,soil topic,protection,research,yes,[a-z]*bodenthem[a-z]*,,,,
bodentrichter,soil funnel,protection,research,yes,[a-z]*bodentrichter[a-z]*,,,,
bodenubersicht,soil overview,protection,research,yes,[a-z]*bodenubersicht[a-z]*,,,,
bodenuntersuchung,soil survey,protection,research,yes,[a-z]*bodenuntersuchung[a-z]*,,,,
bodenzeiger,soil indicator,protection,research,yes,[a-z]*bodenzeiger[a-z]*,,,,
forschung,research,protection,research,no,[a-z]*forschung[a-z]*,,,,
geologi,geology,protection,research,no,[a-z]*geologi[a-z]*,,,,
geophysik,geophysics,protection,research,no,[a-z]*geophysik[a-z]*,,,,
indikator,indicator,protection,research,no,[a-z]*indikat[a-z]*,,,,
inventar,inventory,protection,research,no,[a-z]*inventar[a-z]*,,,,
kartierung,field mapping,protection,research,no,[a-z]*kartierung[a-z]*,,,,
leitart,indicator species,protection,research,no,[a-z]*leitart[a-z]*,,,,
leitmotiv,guidance theme,protection,research,no,[a-z]*leitmotiv[a-z]*,,,,
mess,measurement,protection,research,no,[a-z]*mess[a-z]*,,,,
modellie,modeling,protection,research,no,[a-z]*modellie[a-z]*,,,,
monitoring,monitoring,protection,research,no,[a-z]*monitoring[a-z]*,,,,
nachweis,proof,protection,research,no,[a-z]*nachweis[a-z]*,,,,
pruf,survey,protection,research,no,[a-z]*pruf[a-z]*,,,,
uberwachung,monitoring,protection,research,no,[a-z]*uberwachung[a-z]*,,,,
untersuchung,survey,protection,research,no,[a-z]*untersuchung[a-z]*,,,,
bodensalinitat,soil salinity ,threat,salinization,yes,[a-z]*bodensalinitat[a-z]*,,,,MS
bodenversalz,soil salinization,threat,salinization,yes,[a-z]*bodenversalz[a-z]*,,,,
salz,salt,threat,salinization,no,[a-z]*salz[a-z]*,,,,
versalzung,salinization,threat,salinization,no,[a-z]*versalzung[a-z]*,,,,
bebau,build on sth.,threat,sealing,no,[a-z]*bebau[a-z]*,,,,SC
bodenversieg,soil sealing,threat,sealing,yes,[a-z]*bodenversieg[a-z]*,,,,
verschluss,sealing,threat,sealing,no,[a-z]*verschluss[a-z]*,,,,
versiegelung,sealing,threat,sealing,no,[a-z]*versiegelung[a-z]*,,,,
boden,soil,soil,soil,yes,boden,,,,SC
bodenabhangig,soil-dependend,soil,soil,yes,[a-z]*bodenabhangig[a-z]*,,,,SC
bodenaktiv,soil-active,soil,soil,yes,[a-z]*bodenaktiv[a-z]*,,,,SC
bodenbedingt,soil-conditional,soil,soil,yes,[a-z]*bodenbedingt[a-z]*,,,,OF
bodenbeeinflussend,soil-affecting,soil,soil,yes,[a-z]*bodenbeeinflussend[a-z]*,,,,OF
bodenberuhren,soil-based,soil,soil,yes,[a-z]*bodenberuhren[a-z]*,,,,OF
bodenbestandteil,soil component,soil,soil,yes,[a-z]*bodenbestandteil[a-z]*,,,,OF
bodenbetracht,soil-related,soil,soil,yes,[a-z]*bodenbetracht[a-z]*,,,,OF
bodenbezogen,soil-related,soil,soil,yes,[a-z]*bodenbezogen[a-z]*,,,,OF
bodenburtig,soil-borne,soil,soil,yes,[a-z]*bodenburtig[a-z]*,,,,OF
bodeneigen,soil-own,soil,soil,yes,[a-z]*bodeneigen[a-z]*,,,,MJ
bodenfraktion,soil fraction,soil,soil,yes,[a-z]*bodenfraktion[a-z]*,,,,MJ
bodengleich,soil-like,soil,soil,yes,[a-z]*bodengleich[a-z]*,,,,LS
bodeninaktivitat,soil inactivity,soil,soil,yes,[a-z]*bodeninaktivitat[a-z]*,,,alternately biodiversity and diversity or environment,LS
bodeninner,soil-internal,soil,soil,yes,[a-z]*bodeninner[a-z]*,,,,LS
bodenintern,soil-internal,soil,soil,yes,[a-z]*bodenintern[a-z]*,,,,LS
bodenkompartiment,soil compartment,soil,soil,yes,[a-z]*bodenkompartiment[a-z]*,,,alternatively habitat,LS
bodenkomplex,soil complex,soil,soil,yes,[a-z]*bodenkomplex[a-z]*,,,alternatively phyiscal property but not sure,LS
bodenkorper,soil body,soil,soil,yes,[a-z]*bodenkorper[a-z]*,,,,LS
bodenorientiert,focus on soil,soil,soil,yes,[a-z]*bodenorientiert[a-z]*,,,,MS
bodenpartie,soil section,soil,soil,yes,[a-z]*bodenpartie[a-z]*,,,,MS
bodenrelevant,soil-relevant,soil,soil,yes,[a-z]*bodenrelevant[a-z]*,,,,MS
bodensinter,soil-intern,soil,soil,yes,[a-z]*bodensinter[a-z]*,,,,MS
bodenspeziell,soil-specific,soil,soil,yes,[a-z]*bodenspeziell[a-z]*,,,,MS
bodenspezif,soil-specific,soil,soil,yes,[a-z]*bodenspezif[a-z]*,,,,MS
bodenstationar,edaphic,soil,soil,yes,[a-z]*bodenstationar[a-z]*,,,,MS
bodenstelle,soil spot,soil,soil,yes,[a-z]*bodenstelle[a-z]*,,,,MS
bodenstoff,soil material,soil,soil,yes,[a-z]*bodenstoff[a-z]*,,,,MS
bodenstuck,soil part,soil,soil,yes,[a-z]*bodenstuck[a-z]*,,,,MS
bodensubstanz,soil substrate,soil,soil,yes,[a-z]*bodensubstanz[a-z]*,,,,MS
bodensubstrat,soil substrate,soil,soil,yes,[a-z]*bodensubstrat[a-z]*,,,,MS
bodenteil,soil component,soil,soil,yes,[a-z]*bodenteil[a-z]*,,,,
bodentendenz,soil tendency,soil,soil,yes,[a-z]*bodentendenz[a-z]*,,,,
bodenuntergrund,soil substrate,soil,soil,yes,[a-z]*bodenuntergrund[a-z]*,,,,
aktiv,activity,function,stability,no,[a-z]*aktiv[a-z]*,,,,
bodenstabilis,soil stability,function,stability,yes,[a-z]*bodenstabilis[a-z]*,,,,MS
bodentrophie,soil trophic,function,stability,yes,[a-z]*bodentrophie[a-z]*,,,,
puffer,buffer,function,stability,no,[a-z]*puffer[a-z]*,,,,
stabilisierung,stabilization,function,stability,no,[a-z]*stabilisierung[a-z]*,,,,
stabilitat,stability,function,stability,no,[a-z]*stabilitat[a-z]*,,,,
bild,formation,feature,succession,no,[a-z]*bild[a-z]+,"plus sign needed to exclude term for picture (""Bild"")",,formation more a process but depends on context,SC
bodenabfolge,soil succession,feature,succession,yes,[a-z]*bodenabfolge[a-z]*,,,,SC
bodenausbild,soil formation,feature,succession,yes,[a-z]*bodenausbild[a-z]*,,,,OF
bodenausgangs,soil parental (material),feature,succession,yes,[a-z]*bodenausgangs[a-z]*,,,category better phy or chem property,OF
bodenauspragung,soil characteristic,feature,succession,yes,[a-z]*bodenauspragung[a-z]*,,,,OF
bodenbilden,soil-forming,feature,succession,yes,[a-z]*bodenbilden[a-z]*,,,,OF
bodenbildung,soil formation,feature,succession,yes,[a-z]*bodenbildung[a-z]*,,,,OF
bodencatena,soil change along slope,feature,succession,yes,[a-z]*bodencatena[a-z]*,"Bodencatena, Catena, bezeichnet den Wandel der Bodeneigenschaften entlang eines Hanges von der Wasserscheide bis zur Tiefenlinie.",https://www.spektrum.de/lexikon/geowissenschaften/bodencatena/2014,unknown,OF
bodendynamik,soil dynamic,feature,succession,yes,[a-z]*bodendynamik[a-z]*,,,,MJ
bodenentstehung,soil formation,feature,succession,yes,[a-z]*bodenentstehung[a-z]*,,,,MJ
bodenentwicklung,soil development,feature,succession,yes,[a-z]*bodenentwicklung[a-z]*,,,,MJ
bodenformation,soil formation,feature,succession,yes,[a-z]*bodenformation[a-z]*,,,,MJ
bodengenese,soil genesis?,feature,succession,yes,[a-z]*bodengenese[a-z]*,,,,MJ
bodenherkunft,soil origin,feature,succession,yes,[a-z]*bodenherkunft[a-z]*,,,alternatively characteristic,LS
bodenkatena,soil change along slope,feature,succession,yes,[a-z]*bodenkatena[a-z]*,"Bodencatena, Catena, bezeichnet den Wandel der Bodeneigenschaften entlang eines Hanges von der Wasserscheide bis zur Tiefenlinie.",https://www.spektrum.de/lexikon/geowissenschaften/bodencatena/2013,space vs. time gradient,LS
bodenreif,soil maturity,feature,succession,yes,[a-z]*bodenreif[a-z]*,,,,MS
bodensukzession,soil succession,feature,succession,yes,[a-z]*bodensukzession[a-z]*,,,,
bodenverjung,soil rejuvenation,feature,succession,yes,[a-z]*bodenverjung[a-z]*,,,,
bodenverwitt,soil weathering,feature,succession,yes,[a-z]*bodenverwitt[a-z]*,,,,
initialboden,imature soil,feature,succession,yes,[a-z]*initialboden[a-z]*,,,,
pionierboden,pioneer soil,feature,succession,yes,[a-z]*pionierboden[a-z]*,,,,
rohboden,immature soil,feature,succession,yes,[a-z]*rohboden[a-z]*,,,,
witterungsboden,decomposition soil,feature,succession,yes,[a-z]*witterungsboden[a-z]*,,,,
