"document","year","state"
"MaP Striegistäler_März_2013.pdf","2013","Saxony"
"MaP.pdf","2005","Saxony"
"MaP_024E.pdf","2011","Saxony"
"MaP_025E.pdf","2011","Saxony"
"MaP_045E_Endbericht.pdf","2019","Saxony"
"MaP_061E_Wartha_Koblenz.pdf","2008","Saxony"
"MaP_084E_AB_060531.pdf","2019","Saxony"
"MaP_101_Abschlußbericht_final.pdf","2010","Saxony"
"MaP_11E.pdf","2019","Saxony"
"MaP_121_122_V44_BFL_Hoyerswerda.pdf","2010","Saxony"
"MaP_135_Abschlußbericht.pdf","2010","Saxony"
"MaP_137_20110117.pdf","2019","Saxony"
"MaP_139_20110210.pdf","2011","Saxony"
"MaP_140_20101214.pdf","2011","Saxony"
"MaP_150_März05_Text_a.pdf","2005","Saxony"
"MaP_153_Abschlussbericht.pdf","2019","Saxony"
"MaP_175_ASB_aktuell.pdf","2019","Saxony"
"MaP_176_ASB.pdf","2019","Saxony"
"MaP_178_ASB_aktuell.pdf","2019","Saxony"
"MaP_179 Abschlussbericht_März_2012.pdf","2012","Saxony"
"MaP_180_AB.pdf","2019","Saxony"
"MaP_188_Endbericht_Oktober2008.pdf","2008","Saxony"
"MaP_202_Abschlußbericht_20111005.pdf","2011","Saxony"
"MaP_204_EB.pdf","2010","Saxony"
"MaP_210_SPA 02_Abschlussbericht_110408.pdf","2011","Saxony"
"MaP_213_Abschlussbericht.pdf","2019","Saxony"
"MaP_237_Abschlussbericht.pdf","2019","Saxony"
"MaP_239_AB_Endfassung.pdf","2019","Saxony"
"MaP_243_Text_Juni05.pdf","2019","Saxony"
"MaP_247_AB_2011.pdf","2019","Saxony"
"MaP_248_EB.pdf","2019","Saxony"
"MaP_250_Zschopautal_Abschlussbericht.pdf","2009","Saxony"
"MaP_267_Abschlussbericht.pdf","2019","Saxony"
"MaP_274.pdf","2005","Saxony"
"MaP_279.pdf","2019","Saxony"
"MaP_280_Abschluss.pdf","2019","Saxony"
"MaP_281.pdf","2019","Saxony"
"MaP_283.pdf","2014","Saxony"
"MaP_286.pdf","2012","Saxony"
"MaP_291_Triebtal_Abschlussbericht_112012.pdf","2012","Saxony"
"MaP_296_Abschlussbericht.pdf","2010","Saxony"
"MaP_298_Abschlussbericht.pdf","2011","Saxony"
"MaP_299_2011_12.pdf","2011","Saxony"
"MaP_305_Endbericht_August_2012.pdf","2012","Saxony"
"MaP_317.pdf","2019","Saxony"
"MaP_50E_V05_AB_2013.pdf","2014","Saxony"
