"document","date","title","state","year"
"IBP_Elbeaestuar_8files_combined.pdf",NA,NA,NA,NA
"pep-text-karten_wohldorfer wald.pdf",NA,NA,NA,NA
"pep-text_fischbeker heide.pdf",NA,NA,NA,NA
"pep-text_Höltigbaum.pdf",NA,NA,NA,NA
