,document,date,title,state,year
1,de5527401_t_fg_nfin_ffin_2files_converged.pdf,NA,NA,Bavaria,2011
2,de5528371_t_fg_nfin_ffin_2files_converged.pdf,NA,NA,Bavaria,2019
3,de5533302_t_fg_ffin_nfin_2files_converged.pdf,NA,NA,Bavaria,2011
4,de5536371_t_fg_ffin_nfin_2files_converged.pdf,NA,NA,Bavaria,2017
5,de5626372_t_fg_nfin_ffin_2files_converged.pdf,NA,NA,Bavaria,2018
6,de5628301_t_fg_nfin_ffin_2files_converged.pdf,NA,NA,Bavaria,2019
7,de5628371_t_fg_nfin_ffin_2files_converged.pdf,NA,NA,Bavaria,2019
8,de5628471_t_fg_nfin_ffin_2files_converged.pdf,NA,NA,Bavaria,2016
9,de5629303_t_fg_nfin_ffin_2files_converged.pdf,NA,NA,Bavaria,2018
10,de5630371_t_fg_ffin_nfin_2files_converged.pdf,NA,NA,Bavaria,2013
11,de5630372_t_2files_merged.pdf,NA,NA,Bavaria,2011
12,de6032371_t_2files_merged.pdf,NA,NA,Bavaria,2011
13,de6426471_t_ge_nfin_ffin.pdf,NA,NA,Bavaria,2007
14,0_2_PEPL_Albtrauf_Bericht_Endfassung_20071207.pdf,NA,NA,BaWue,2007
15,00_MaP_Steinheimer_Becken_Text_Endfassung.pdf,NA,NA,BaWue,2010
16,02_text_managementplan_3.pdf,NA,NA,BaWue,2016
17,6620341_02_text_managementplan_ohne_Bilder.pdf,NA,NA,BaWue,2011
18,7016342_text_managementplan.pdf,NA,NA,BaWue,2010
19,7116342_02_text_managementplan.pdf,NA,NA,BaWue,2011
20,7314341_03_maptext.pdf,NA,NA,BaWue,2020
21,7319341_02_text_managementplan_reduziert.pdf,NA,NA,BaWue,2016
22,7418341_02_text_managementplan.pdf,NA,NA,BaWue,2017
23,8322341_02_text_bodensee_fn_west_2009.pdf,NA,NA,BaWue,2009
24,MaP_Albuchwiesen_Text.pdf,NA,NA,BaWue,2009
25,stromberg_01_pepl_text_3_Dateien_zusammengefügt.pdf,NA,NA,BaWue,2011
26,MaP_Niedermoorwiesen_Tegl_Fließ.pdf,NA,NA,Berlin,2015
27,MaP_Wilhelmshagen_Woltersdorfer_Dünenzug.pdf,NA,NA,Berlin,2020
28,PEP_GosenerWiesen_Seddinsee.pdf,NA,NA,Berlin,2003
29,PEP_SandgrubeJg86.pdf,NA,NA,Berlin,2001
30,FFH-MP-013.pdf,NA,NA,Brandenburg,2015
31,FFH-MP-019.pdf,NA,NA,Brandenburg,2019
32,FFH-MP-020.pdf,NA,NA,Brandenburg,2012
33,FFH-MP-021.pdf,NA,NA,Brandenburg,2019
34,FFH-MP-024.pdf,NA,NA,Brandenburg,2014
35,FFH-MP-030-Teil-Bestand_2files_merged.pdf,NA,NA,Brandenburg,2015
36,FFH-MP-125.pdf,NA,NA,Brandenburg,2019
37,FFH-MP-126.pdf,NA,NA,Brandenburg,2012
38,FFH-MP-127.pdf,NA,NA,Brandenburg,2020
39,FFH-MP-128.pdf,NA,NA,Brandenburg,2020
40,FFH-MP-132.pdf,NA,NA,Brandenburg,2019
41,FFH-MP-148.pdf,NA,NA,Brandenburg,2019
42,FFH-MP-151-SPA-7026.pdf,NA,NA,Brandenburg,2015
43,FFH-MP-153.pdf,NA,NA,Brandenburg,2012
44,FFH-MP-155.pdf,NA,NA,Brandenburg,2015
