subcategory,word2,deca,mean,tf,df,df.n
aboveground,aboveground,2010,17.70871985,9545,335,0.621521336
environment,environment,2010,17.50649351,9436,452,0.838589981
environment,environment,2020,15.45561139,27681,1529,0.853713009
environment,environment,2015,14.55829787,17106,1021,0.86893617
classification,classification,2010,11.90166976,6415,412,0.764378479
soil,soil,2010,11.01298701,5936,426,0.790352505
classification,classification,2020,10.69570073,19156,1397,0.780011167
phy.property,phy.property,2010,10.69387755,5764,404,0.749536178
soil,soil,2020,10.5773311,18944,1448,0.808486879
soil,soil,2015,10.1693617,11949,978,0.832340426
aboveground,aboveground,2015,9.861276596,11587,682,0.580425532
aboveground,aboveground,2020,9.560580681,17123,1096,0.611948632
research,research,2010,9.517625232,5130,315,0.584415584
classification,classification,2015,9.280851064,10905,940,0.8
managing,managing,2020,9.269681742,16602,1450,0.809603573
phy.property,phy.property,2020,9.09268565,16285,1393,0.777777778
phy.property,phy.property,2015,9.074893617,10663,880,0.74893617
managing,managing,2010,8.730983302,4706,416,0.771799629
managing,managing,2015,7.727659574,9080,929,0.790638298
disturbance,disturbance,2010,7.25974026,3913,273,0.506493506
chem.property,chem.property,2020,6.844779453,12259,1268,0.707984366
chem.property,chem.property,2010,6.517625232,3513,363,0.673469388
chem.property,chem.property,2015,6.104680851,7173,821,0.698723404
habitat,habitat,2010,5.935064935,3199,323,0.599257885
habitat,habitat,2020,5.490228922,9833,1169,0.652707984
research,aboveground,2010,5.430426716,2927,185,0.3432282
aboveground,research,2010,5.430426716,2927,185,0.3432282
research,research,2020,4.972082635,8905,1109,0.619207147
habitat,habitat,2015,4.761702128,5595,730,0.621276596
environment,aboveground,2010,4.621521336,2491,254,0.471243043
aboveground,environment,2010,4.621521336,2491,254,0.471243043
policy,policy,2020,4.542155221,8135,1199,0.669458403
research,research,2015,4.468085106,5250,665,0.565957447
erosion,erosion,2010,4.413729128,2379,309,0.573283859
environment,classification,2010,4.380333952,2361,355,0.658627087
classification,environment,2010,4.380333952,2361,355,0.658627087
environment,chem.property,2020,4.371300949,7829,1051,0.586823004
chem.property,environment,2020,4.371300949,7829,1051,0.586823004
policy,policy,2015,4.28,5029,812,0.69106383
soil,environment,2020,4.236180905,7587,1203,0.671691792
environment,soil,2020,4.236180905,7587,1203,0.671691792
environment,classification,2020,4.097710776,7339,1133,0.632607482
classification,environment,2020,4.097710776,7339,1133,0.632607482
environment,chem.property,2015,4.038297872,4745,694,0.590638298
chem.property,environment,2015,4.038297872,4745,694,0.590638298
characteristic,characteristic,2020,4.024567281,7208,1175,0.656058068
phy.property,environment,2015,3.994042553,4693,694,0.590638298
environment,phy.property,2015,3.994042553,4693,694,0.590638298
soil,environment,2010,3.957328386,2133,353,0.654916512
environment,soil,2010,3.957328386,2133,353,0.654916512
characteristic,characteristic,2015,3.941276596,4631,699,0.594893617
soil,environment,2015,3.897021277,4579,819,0.697021277
environment,soil,2015,3.897021277,4579,819,0.697021277
environment,chem.property,2010,3.881261596,2092,319,0.591836735
chem.property,environment,2010,3.881261596,2092,319,0.591836735
managing,environment,2020,3.877721943,6945,1229,0.686208822
environment,managing,2020,3.877721943,6945,1229,0.686208822
environment,classification,2015,3.749787234,4406,744,0.633191489
classification,environment,2015,3.749787234,4406,744,0.633191489
erosion,erosion,2020,3.702400893,6631,1159,0.647124511
phy.property,environment,2020,3.657174763,6550,1087,0.606923506
environment,phy.property,2020,3.657174763,6550,1087,0.606923506
phy.property,environment,2010,3.649350649,1967,324,0.601113173
environment,phy.property,2010,3.649350649,1967,324,0.601113173
disturbance,disturbance,2015,3.633191489,4269,576,0.490212766
habitat,aboveground,2010,3.604823748,1943,204,0.378478664
aboveground,habitat,2010,3.604823748,1943,204,0.378478664
characteristic,characteristic,2010,3.536178108,1906,304,0.564007421
policy,policy,2010,3.515769944,1895,323,0.599257885
disturbance,disturbance,2020,3.329424902,5963,928,0.518146287
erosion,erosion,2015,3.321702128,3903,667,0.567659574
managing,environment,2010,3.189239332,1719,352,0.653061224
environment,managing,2010,3.189239332,1719,352,0.653061224
soil,classification,2015,3.157446809,3710,710,0.604255319
classification,soil,2015,3.157446809,3710,710,0.604255319
soil,classification,2020,3.152987158,5647,986,0.55053043
classification,soil,2020,3.152987158,5647,986,0.55053043
disturbance,aboveground,2010,3.141001855,1693,130,0.241187384
aboveground,disturbance,2010,3.141001855,1693,130,0.241187384
phy.property,aboveground,2010,3.139146568,1692,190,0.352504638
aboveground,phy.property,2010,3.139146568,1692,190,0.352504638
soil,classification,2010,3.131725417,1688,312,0.578849722
classification,soil,2010,3.131725417,1688,312,0.578849722
managing,environment,2015,3.015319149,3543,753,0.640851064
environment,managing,2015,3.015319149,3543,753,0.640851064
succession,succession,2010,2.983302412,1608,289,0.536178108
environment,aboveground,2015,2.964255319,3483,479,0.407659574
aboveground,environment,2015,2.964255319,3483,479,0.407659574
environment,aboveground,2020,2.788386376,4994,754,0.420993858
aboveground,environment,2020,2.788386376,4994,754,0.420993858
belowground,belowground,2010,2.775510204,1496,209,0.387755102
classification,aboveground,2010,2.586270872,1394,194,0.359925788
aboveground,classification,2010,2.586270872,1394,194,0.359925788
phy.property,classification,2010,2.52690167,1362,275,0.510204082
classification,phy.property,2010,2.52690167,1362,275,0.510204082
succession,succession,2020,2.488553881,4457,911,0.508654383
phy.property,chem.property,2015,2.457021277,2887,509,0.433191489
chem.property,phy.property,2015,2.457021277,2887,509,0.433191489
soil,managing,2020,2.415410385,4326,1028,0.573981016
managing,soil,2020,2.415410385,4326,1028,0.573981016
phy.property,classification,2020,2.413176996,4322,964,0.53824679
classification,phy.property,2020,2.413176996,4322,964,0.53824679
phy.property,chem.property,2020,2.342825237,4196,919,0.513121161
chem.property,phy.property,2020,2.342825237,4196,919,0.513121161
habitat,aboveground,2015,2.288510638,2689,399,0.339574468
aboveground,habitat,2015,2.288510638,2689,399,0.339574468
soil,phy.property,2015,2.274893617,2673,625,0.531914894
phy.property,soil,2015,2.274893617,2673,625,0.531914894
managing,aboveground,2010,2.217068646,1195,199,0.369202226
aboveground,managing,2010,2.217068646,1195,199,0.369202226
soil,phy.property,2010,2.211502783,1192,302,0.560296846
phy.property,soil,2010,2.211502783,1192,302,0.560296846
environment,characteristic,2015,2.200851064,2586,521,0.443404255
characteristic,environment,2015,2.200851064,2586,521,0.443404255
phy.property,classification,2015,2.187234043,2570,601,0.511489362
classification,phy.property,2015,2.187234043,2570,601,0.511489362
research,disturbance,2010,2.172541744,1171,140,0.25974026
disturbance,research,2010,2.172541744,1171,140,0.25974026
soil,phy.property,2020,2.127303183,3810,995,0.555555556
phy.property,soil,2020,2.127303183,3810,995,0.555555556
research,environment,2010,2.126159555,1146,235,0.435992579
environment,research,2010,2.126159555,1146,235,0.435992579
habitat,aboveground,2020,2.079843663,3725,573,0.319932998
aboveground,habitat,2020,2.079843663,3725,573,0.319932998
climate,climate,2010,2.07606679,1119,263,0.487940631
filtration,filtration,2010,2.050092764,1105,246,0.456400742
climate,climate,2020,2.044109436,3661,952,0.531546622
location,location,2010,2.035250464,1097,160,0.296846011
habitat,environment,2020,2.016750419,3612,849,0.474036851
environment,habitat,2020,2.016750419,3612,849,0.474036851
climate,climate,2015,1.996595745,2346,538,0.45787234
soil,erosion,2010,1.979591837,1067,226,0.419294991
erosion,soil,2010,1.979591837,1067,226,0.419294991
research,aboveground,2020,1.96091569,3512,405,0.226130653
aboveground,research,2020,1.96091569,3512,405,0.226130653
environment,characteristic,2020,1.950307091,3493,829,0.462869905
characteristic,environment,2020,1.950307091,3493,829,0.462869905
habitat,environment,2010,1.948051948,1050,252,0.467532468
environment,habitat,2010,1.948051948,1050,252,0.467532468
succession,succession,2015,1.944680851,2285,569,0.484255319
landuse,landuse,2015,1.943829787,2284,492,0.418723404
landuse,landuse,2020,1.911781128,3424,805,0.44946957
soil,managing,2015,1.898723404,2231,630,0.536170213
managing,soil,2015,1.898723404,2231,630,0.536170213
phy.property,managing,2020,1.894472362,3393,936,0.522613065
managing,phy.property,2020,1.894472362,3393,936,0.522613065
filtration,filtration,2020,1.8866555,3379,861,0.480737018
environment,disturbance,2010,1.85528757,1000,167,0.309833024
disturbance,environment,2010,1.85528757,1000,167,0.309833024
research,phy.property,2010,1.810760668,976,183,0.339517625
phy.property,research,2010,1.810760668,976,183,0.339517625
classification,chem.property,2010,1.803339518,972,264,0.489795918
chem.property,classification,2010,1.803339518,972,264,0.489795918
agriculture,agriculture,2015,1.8,2115,542,0.461276596
filtration,filtration,2015,1.788085106,2101,482,0.410212766
belowground,belowground,2020,1.78559464,3198,647,0.361250698
landuse,landuse,2010,1.773654917,956,199,0.369202226
agriculture,agriculture,2020,1.77107761,3172,827,0.46175321
soil,research,2010,1.766233766,952,233,0.432282004
research,soil,2010,1.766233766,952,233,0.432282004
classification,chem.property,2020,1.762702401,3157,862,0.481295366
chem.property,classification,2020,1.762702401,3157,862,0.481295366
managing,chem.property,2020,1.753768844,3141,727,0.405918481
chem.property,managing,2020,1.753768844,3141,727,0.405918481
agriculture,agriculture,2010,1.738404453,937,213,0.395176252
phy.property,aboveground,2015,1.73106383,2034,374,0.318297872
aboveground,phy.property,2015,1.73106383,2034,374,0.318297872
phy.property,characteristic,2015,1.730212766,2033,416,0.354042553
characteristic,phy.property,2015,1.730212766,2033,416,0.354042553
diversity,diversity,2010,1.723562152,929,210,0.38961039
policy,environment,2015,1.70212766,2000,566,0.481702128
environment,policy,2015,1.70212766,2000,566,0.481702128
research,aboveground,2015,1.685106383,1980,277,0.235744681
aboveground,research,2015,1.685106383,1980,277,0.235744681
cover,cover,2010,1.684601113,908,230,0.426716141
phy.property,chem.property,2010,1.6716141,901,249,0.461966605
chem.property,phy.property,2010,1.6716141,901,249,0.461966605
soil,managing,2010,1.653061224,891,288,0.53432282
managing,soil,2010,1.653061224,891,288,0.53432282
managing,classification,2020,1.641541039,2940,909,0.507537688
classification,managing,2020,1.641541039,2940,909,0.507537688
habitat,environment,2015,1.632340426,1918,529,0.450212766
environment,habitat,2015,1.632340426,1918,529,0.450212766
policy,environment,2020,1.612506979,2888,851,0.475153546
environment,policy,2020,1.612506979,2888,851,0.475153546
soil,chem.property,2020,1.609156896,2882,797,0.445002792
chem.property,soil,2020,1.609156896,2882,797,0.445002792
cover,cover,2020,1.598548297,2863,748,0.417643774
research,managing,2010,1.586270872,855,187,0.346938776
managing,research,2010,1.586270872,855,187,0.346938776
managing,habitat,2020,1.574539363,2820,735,0.41038526
habitat,managing,2020,1.574539363,2820,735,0.41038526
location,location,2020,1.557230597,2789,583,0.325516471
classification,chem.property,2015,1.556595745,1829,538,0.45787234
chem.property,classification,2015,1.556595745,1829,538,0.45787234
global.cycles,global.cycles,2010,1.53432282,827,144,0.26716141
research,habitat,2010,1.508348794,813,165,0.306122449
habitat,research,2010,1.508348794,813,165,0.306122449
chem.property,characteristic,2015,1.507234043,1771,324,0.275744681
characteristic,chem.property,2015,1.507234043,1771,324,0.275744681
phy.property,aboveground,2020,1.503629257,2693,547,0.305415969
aboveground,phy.property,2020,1.503629257,2693,547,0.305415969
research,classification,2010,1.493506494,805,190,0.352504638
classification,research,2010,1.493506494,805,190,0.352504638
belowground,belowground,2015,1.482553191,1742,369,0.314042553
policy,environment,2010,1.476808905,796,232,0.430426716
environment,policy,2010,1.476808905,796,232,0.430426716
compaction,compaction,2010,1.471243043,793,158,0.293135436
phy.property,managing,2015,1.470638298,1728,506,0.430638298
managing,phy.property,2015,1.470638298,1728,506,0.430638298
phy.property,managing,2010,1.460111317,787,221,0.410018553
managing,phy.property,2010,1.460111317,787,221,0.410018553
classification,aboveground,2020,1.43718593,2574,469,0.26186488
aboveground,classification,2020,1.43718593,2574,469,0.26186488
diversity,diversity,2015,1.430638298,1681,380,0.323404255
phy.property,disturbance,2010,1.428571429,770,128,0.237476809
disturbance,phy.property,2010,1.428571429,770,128,0.237476809
managing,aboveground,2015,1.427234043,1677,371,0.315744681
aboveground,managing,2015,1.427234043,1677,371,0.315744681
soil,chem.property,2010,1.424860853,768,243,0.450834879
chem.property,soil,2010,1.424860853,768,243,0.450834879
environment,belowground,2010,1.424860853,768,107,0.19851577
belowground,environment,2010,1.424860853,768,107,0.19851577
managing,classification,2010,1.421150278,766,253,0.469387755
classification,managing,2010,1.421150278,766,253,0.469387755
policy,managing,2020,1.419318816,2542,794,0.44332775
managing,policy,2020,1.419318816,2542,794,0.44332775
environment,characteristic,2010,1.398886827,754,227,0.421150278
characteristic,environment,2010,1.398886827,754,227,0.421150278
cover,cover,2015,1.379574468,1621,448,0.381276596
soil,disturbance,2010,1.372912801,740,142,0.263450835
disturbance,soil,2010,1.372912801,740,142,0.263450835
managing,characteristic,2020,1.370742602,2455,800,0.446677834
characteristic,managing,2020,1.370742602,2455,800,0.446677834
classification,aboveground,2015,1.351489362,1588,326,0.277446809
aboveground,classification,2015,1.351489362,1588,326,0.277446809
disturbance,aboveground,2020,1.351200447,2420,414,0.231155779
aboveground,disturbance,2020,1.351200447,2420,414,0.231155779
soil,aboveground,2010,1.348794063,727,177,0.3283859
aboveground,soil,2010,1.348794063,727,177,0.3283859
research,environment,2020,1.343941932,2407,723,0.403685092
environment,research,2020,1.343941932,2407,723,0.403685092
disturbance,aboveground,2015,1.34212766,1577,206,0.175319149
aboveground,disturbance,2015,1.34212766,1577,206,0.175319149
location,location,2015,1.339574468,1574,346,0.294468085
managing,classification,2015,1.335319149,1569,542,0.461276596
classification,managing,2015,1.335319149,1569,542,0.461276596
policy,managing,2015,1.330212766,1563,484,0.411914894
managing,policy,2015,1.330212766,1563,484,0.411914894
phy.property,characteristic,2020,1.323283082,2370,635,0.35455053
characteristic,phy.property,2020,1.323283082,2370,635,0.35455053
managing,aboveground,2020,1.316582915,2358,661,0.36906756
aboveground,managing,2020,1.316582915,2358,661,0.36906756
soil,chem.property,2015,1.309787234,1539,505,0.429787234
chem.property,soil,2015,1.309787234,1539,505,0.429787234
chem.property,characteristic,2020,1.3093244,2345,535,0.298715801
characteristic,chem.property,2020,1.3093244,2345,535,0.298715801
managing,disturbance,2010,1.280148423,690,156,0.289424861
disturbance,managing,2010,1.280148423,690,156,0.289424861
soil,erosion,2020,1.279731993,2292,793,0.442769403
erosion,soil,2020,1.279731993,2292,793,0.442769403
disturbance,belowground,2010,1.26716141,683,82,0.152133581
belowground,disturbance,2010,1.26716141,683,82,0.152133581
research,environment,2015,1.261276596,1482,441,0.375319149
environment,research,2015,1.261276596,1482,441,0.375319149
diversity,diversity,2020,1.251814629,2242,637,0.355667225
erosion,disturbance,2010,1.230055659,663,103,0.19109462
disturbance,erosion,2010,1.230055659,663,103,0.19109462
phy.property,habitat,2020,1.194304858,2139,648,0.361809045
habitat,phy.property,2020,1.194304858,2139,648,0.361809045
phy.property,habitat,2010,1.178107607,635,184,0.341372913
habitat,phy.property,2010,1.178107607,635,184,0.341372913
erosion,environment,2020,1.16694584,2090,749,0.418202122
environment,erosion,2020,1.16694584,2090,749,0.418202122
characteristic,aboveground,2010,1.150278293,620,152,0.282003711
aboveground,characteristic,2010,1.150278293,620,152,0.282003711
chem.property,aboveground,2010,1.111317254,599,140,0.25974026
aboveground,chem.property,2010,1.111317254,599,140,0.25974026
managing,habitat,2015,1.10212766,1295,416,0.354042553
habitat,managing,2015,1.10212766,1295,416,0.354042553
soil,erosion,2015,1.101276596,1294,450,0.382978723
erosion,soil,2015,1.101276596,1294,450,0.382978723
habitat,classification,2010,1.087198516,586,175,0.324675325
classification,habitat,2010,1.087198516,586,175,0.324675325
managing,chem.property,2015,1.077446809,1266,436,0.37106383
chem.property,managing,2015,1.077446809,1266,436,0.37106383
managing,habitat,2010,1.064935065,574,179,0.332096475
habitat,managing,2010,1.064935065,574,179,0.332096475
soil,research,2015,1.060425532,1246,460,0.391489362
research,soil,2015,1.060425532,1246,460,0.391489362
managing,characteristic,2015,1.060425532,1246,400,0.340425532
characteristic,managing,2015,1.060425532,1246,400,0.340425532
soil,global.cycles,2010,1.046382189,564,92,0.170686456
global.cycles,soil,2010,1.046382189,564,92,0.170686456
erosion,environment,2010,1.033395176,557,197,0.365491651
environment,erosion,2010,1.033395176,557,197,0.365491651
phy.property,habitat,2015,1.026382979,1206,392,0.333617021
habitat,phy.property,2015,1.026382979,1206,392,0.333617021
habitat,classification,2020,1.025683975,1837,581,0.324399777
classification,habitat,2020,1.025683975,1837,581,0.324399777
succession,environment,2020,1.019542155,1826,606,0.338358459
environment,succession,2020,1.019542155,1826,606,0.338358459
global.cycles,global.cycles,2020,1.002791736,1796,591,0.32998325
relocation,relocation,2010,0.994434137,536,180,0.333951763
erosion,classification,2010,0.990723562,534,198,0.367346939
classification,erosion,2010,0.990723562,534,198,0.367346939
policy,classification,2020,0.981574539,1758,629,0.351200447
classification,policy,2020,0.981574539,1758,629,0.351200447
soil,filtration,2010,0.974025974,525,184,0.341372913
filtration,soil,2010,0.974025974,525,184,0.341372913
soil,habitat,2020,0.97319933,1743,687,0.38358459
habitat,soil,2020,0.97319933,1743,687,0.38358459
relocation,relocation,2015,0.962553191,1131,367,0.312340426
compaction,compaction,2015,0.96,1128,282,0.24
managing,chem.property,2010,0.957328386,516,200,0.371057514
chem.property,managing,2010,0.957328386,516,200,0.371057514
relocation,relocation,2020,0.953098827,1707,618,0.345058626
soil,research,2020,0.944165271,1691,744,0.415410385
research,soil,2020,0.944165271,1691,744,0.415410385
environment,disturbance,2015,0.93787234,1102,324,0.275744681
disturbance,environment,2015,0.93787234,1102,324,0.275744681
erosion,environment,2015,0.93787234,1102,423,0.36
environment,erosion,2015,0.93787234,1102,423,0.36
succession,environment,2010,0.929499072,501,191,0.354359926
environment,succession,2010,0.929499072,501,191,0.354359926
policy,managing,2010,0.927643785,500,191,0.354359926
managing,policy,2010,0.927643785,500,191,0.354359926
research,phy.property,2015,0.926808511,1089,330,0.280851064
phy.property,research,2015,0.926808511,1089,330,0.280851064
habitat,chem.property,2020,0.923506421,1654,483,0.269681742
chem.property,habitat,2020,0.923506421,1654,483,0.269681742
soil,policy,2020,0.922948074,1653,719,0.401451703
policy,soil,2020,0.922948074,1653,719,0.401451703
erosion,classification,2020,0.920156337,1648,646,0.360692351
classification,erosion,2020,0.920156337,1648,646,0.360692351
degradation,degradation,2020,0.911781128,1633,543,0.30318258
research,habitat,2020,0.911222781,1632,421,0.23506421
habitat,research,2020,0.911222781,1632,421,0.23506421
managing,characteristic,2010,0.910946197,491,167,0.309833024
characteristic,managing,2010,0.910946197,491,167,0.309833024
phy.property,erosion,2010,0.909090909,490,158,0.293135436
erosion,phy.property,2010,0.909090909,490,158,0.293135436
managing,erosion,2020,0.901172529,1614,687,0.38358459
erosion,managing,2020,0.901172529,1614,687,0.38358459
soil,climate,2010,0.899814471,485,207,0.384044527
climate,soil,2010,0.899814471,485,207,0.384044527
erosion,aboveground,2010,0.890538033,480,88,0.163265306
aboveground,erosion,2010,0.890538033,480,88,0.163265306
managing,landuse,2020,0.890005583,1594,500,0.279173646
landuse,managing,2020,0.890005583,1594,500,0.279173646
soil,habitat,2015,0.889361702,1045,399,0.339574468
habitat,soil,2015,0.889361702,1045,399,0.339574468
research,habitat,2015,0.878297872,1032,258,0.219574468
habitat,research,2015,0.878297872,1032,258,0.219574468
soil,climate,2015,0.870638298,1023,417,0.354893617
climate,soil,2015,0.870638298,1023,417,0.354893617
soil,climate,2020,0.866554997,1552,713,0.398101619
climate,soil,2020,0.866554997,1552,713,0.398101619
global.cycles,disturbance,2010,0.866419295,467,59,0.109461967
disturbance,global.cycles,2010,0.866419295,467,59,0.109461967
environment,climate,2010,0.86270872,465,193,0.358070501
climate,environment,2010,0.86270872,465,193,0.358070501
environment,disturbance,2020,0.862088219,1544,428,0.238972641
disturbance,environment,2020,0.862088219,1544,428,0.238972641
phy.property,erosion,2020,0.860413177,1541,617,0.344500279
erosion,phy.property,2020,0.860413177,1541,617,0.344500279
habitat,disturbance,2010,0.858998145,463,121,0.224489796
disturbance,habitat,2010,0.858998145,463,121,0.224489796
phy.property,characteristic,2010,0.857142857,462,172,0.319109462
characteristic,phy.property,2010,0.857142857,462,172,0.319109462
policy,aboveground,2010,0.853432282,460,136,0.252319109
aboveground,policy,2010,0.853432282,460,136,0.252319109
habitat,classification,2015,0.847659574,996,324,0.275744681
classification,habitat,2015,0.847659574,996,324,0.275744681
phy.property,location,2010,0.846011132,456,82,0.152133581
location,phy.property,2010,0.846011132,456,82,0.152133581
soil,policy,2015,0.842553191,990,461,0.392340426
policy,soil,2015,0.842553191,990,461,0.392340426
diversity,aboveground,2010,0.840445269,453,107,0.19851577
aboveground,diversity,2010,0.840445269,453,107,0.19851577
research,classification,2020,0.840312674,1505,566,0.316024567
classification,research,2020,0.840312674,1505,566,0.316024567
research,managing,2020,0.838637633,1502,601,0.335566723
managing,research,2020,0.838637633,1502,601,0.335566723
disturbance,compaction,2010,0.836734694,451,98,0.181818182
compaction,disturbance,2010,0.836734694,451,98,0.181818182
research,managing,2015,0.823829787,968,323,0.274893617
managing,research,2015,0.823829787,968,323,0.274893617
succession,aboveground,2010,0.820037106,442,88,0.163265306
aboveground,succession,2010,0.820037106,442,88,0.163265306
soil,characteristic,2020,0.816303741,1462,622,0.347292016
characteristic,soil,2020,0.816303741,1462,622,0.347292016
characteristic,aboveground,2015,0.811914894,954,264,0.224680851
aboveground,characteristic,2015,0.811914894,954,264,0.224680851
research,phy.property,2020,0.796761586,1427,526,0.293690676
phy.property,research,2020,0.796761586,1427,526,0.293690676
succession,classification,2010,0.79406308,428,177,0.3283859
classification,succession,2010,0.79406308,428,177,0.3283859
degradation,degradation,2015,0.793191489,932,299,0.254468085
succession,phy.property,2010,0.782931354,422,149,0.276437848
phy.property,succession,2010,0.782931354,422,149,0.276437848
managing,landuse,2015,0.780425532,917,292,0.248510638
landuse,managing,2015,0.780425532,917,292,0.248510638
soil,policy,2010,0.775510204,418,189,0.350649351
policy,soil,2010,0.775510204,418,189,0.350649351
diversity,aboveground,2015,0.772765957,908,159,0.135319149
aboveground,diversity,2015,0.772765957,908,159,0.135319149
soil,filtration,2015,0.769361702,904,347,0.295319149
filtration,soil,2015,0.769361702,904,347,0.295319149
belowground,aboveground,2010,0.768089054,414,101,0.187384045
aboveground,belowground,2010,0.768089054,414,101,0.187384045
chem.property,aboveground,2015,0.766808511,901,268,0.228085106
aboveground,chem.property,2015,0.766808511,901,268,0.228085106
chem.property,aboveground,2020,0.766610832,1373,366,0.204355109
aboveground,chem.property,2020,0.766610832,1373,366,0.204355109
erosion,classification,2015,0.764255319,898,389,0.33106383
classification,erosion,2015,0.764255319,898,389,0.33106383
degradation,degradation,2010,0.760667904,410,145,0.269016698
amount,amount,2010,0.760667904,410,148,0.27458256
policy,classification,2015,0.755744681,888,391,0.332765957
classification,policy,2015,0.755744681,888,391,0.332765957
global.cycles,erosion,2010,0.753246753,406,59,0.109461967
erosion,global.cycles,2010,0.753246753,406,59,0.109461967
policy,phy.property,2020,0.75265215,1348,511,0.285315466
phy.property,policy,2020,0.75265215,1348,511,0.285315466
managing,erosion,2015,0.751489362,883,366,0.311489362
erosion,managing,2015,0.751489362,883,366,0.311489362
global.cycles,global.cycles,2015,0.749787234,881,291,0.247659574
policy,phy.property,2015,0.747234043,878,327,0.278297872
phy.property,policy,2015,0.747234043,878,327,0.278297872
environment,belowground,2020,0.745951982,1336,350,0.195421552
belowground,environment,2020,0.745951982,1336,350,0.195421552
research,policy,2010,0.742115028,400,151,0.280148423
policy,research,2010,0.742115028,400,151,0.280148423
managing,erosion,2010,0.74025974,399,136,0.252319109
erosion,managing,2010,0.74025974,399,136,0.252319109
compaction,compaction,2020,0.73813512,1322,389,0.217197097
policy,erosion,2015,0.734468085,863,280,0.238297872
erosion,policy,2015,0.734468085,863,280,0.238297872
soil,characteristic,2010,0.73283859,395,188,0.348794063
characteristic,soil,2010,0.73283859,395,188,0.348794063
policy,aboveground,2020,0.7319933,1311,388,0.216638749
aboveground,policy,2020,0.7319933,1311,388,0.216638749
succession,classification,2020,0.730318258,1308,540,0.301507538
classification,succession,2020,0.730318258,1308,540,0.301507538
managing,disturbance,2020,0.728084869,1304,463,0.258514796
disturbance,managing,2020,0.728084869,1304,463,0.258514796
soil,aboveground,2020,0.725293132,1299,527,0.294249023
aboveground,soil,2020,0.725293132,1299,527,0.294249023
research,classification,2015,0.723404255,850,332,0.282553191
classification,research,2015,0.723404255,850,332,0.282553191
policy,classification,2010,0.719851577,388,172,0.319109462
classification,policy,2010,0.719851577,388,172,0.319109462
policy,chem.property,2015,0.713191489,838,290,0.246808511
chem.property,policy,2015,0.713191489,838,290,0.246808511
soil,aboveground,2015,0.710638298,835,314,0.267234043
aboveground,soil,2015,0.710638298,835,314,0.267234043
research,disturbance,2020,0.708542714,1269,247,0.137911781
disturbance,research,2020,0.708542714,1269,247,0.137911781
environment,climate,2020,0.707984366,1268,591,0.32998325
climate,environment,2020,0.707984366,1268,591,0.32998325
filtration,environment,2015,0.69787234,820,318,0.270638298
environment,filtration,2015,0.69787234,820,318,0.270638298
environment,diversity,2010,0.697588126,376,134,0.248608534
diversity,environment,2010,0.697588126,376,134,0.248608534
managing,landuse,2010,0.697588126,376,111,0.20593692
landuse,managing,2010,0.697588126,376,111,0.20593692
decomposition,decomposition,2010,0.697588126,376,129,0.239332096
disturbance,classification,2010,0.693877551,374,106,0.196660482
classification,disturbance,2010,0.693877551,374,106,0.196660482
research,erosion,2010,0.686456401,370,78,0.14471243
erosion,research,2010,0.686456401,370,78,0.14471243
succession,environment,2015,0.674893617,793,360,0.306382979
environment,succession,2015,0.674893617,793,360,0.306382979
habitat,characteristic,2020,0.67225014,1204,466,0.260189838
characteristic,habitat,2020,0.67225014,1204,466,0.260189838
research,disturbance,2015,0.668085106,785,189,0.160851064
disturbance,research,2015,0.668085106,785,189,0.160851064
filtration,environment,2010,0.666048237,359,162,0.300556586
environment,filtration,2010,0.666048237,359,162,0.300556586
classification,characteristic,2010,0.66419295,358,150,0.278293135
characteristic,classification,2010,0.66419295,358,150,0.278293135
research,policy,2020,0.661641541,1185,524,0.292573981
policy,research,2020,0.661641541,1185,524,0.292573981
soil,filtration,2020,0.661083194,1184,532,0.297040759
filtration,soil,2020,0.661083194,1184,532,0.297040759
environment,climate,2015,0.658723404,774,342,0.29106383
managing,disturbance,2015,0.658723404,774,286,0.243404255
climate,environment,2015,0.658723404,774,342,0.29106383
disturbance,managing,2015,0.658723404,774,286,0.243404255
classification,characteristic,2020,0.658291457,1179,550,0.307091011
characteristic,classification,2020,0.658291457,1179,550,0.307091011
soil,characteristic,2015,0.65787234,773,375,0.319148936
characteristic,soil,2015,0.65787234,773,375,0.319148936
phy.property,erosion,2015,0.657021277,772,334,0.284255319
erosion,phy.property,2015,0.657021277,772,334,0.284255319
policy,erosion,2020,0.654383026,1172,445,0.248464545
erosion,policy,2020,0.654383026,1172,445,0.248464545
research,characteristic,2010,0.653061224,352,141,0.261595547
characteristic,research,2010,0.653061224,352,141,0.261595547
classification,characteristic,2015,0.648510638,762,328,0.279148936
characteristic,classification,2015,0.648510638,762,328,0.279148936
habitat,characteristic,2015,0.645957447,759,283,0.240851064
characteristic,habitat,2015,0.645957447,759,283,0.240851064
filtration,classification,2020,0.644891122,1155,469,0.26186488
classification,filtration,2020,0.644891122,1155,469,0.26186488
deposition,deposition,2010,0.643784787,347,113,0.209647495
filtration,classification,2010,0.641929499,346,142,0.263450835
classification,filtration,2010,0.641929499,346,142,0.263450835
disturbance,chem.property,2010,0.638218924,344,95,0.176252319
chem.property,disturbance,2010,0.638218924,344,95,0.176252319
soil,habitat,2010,0.636363636,343,160,0.296846011
habitat,soil,2010,0.636363636,343,160,0.296846011
policy,aboveground,2015,0.634042553,745,246,0.209361702
