"x"
"abgrenzung"
"grundlagen"
"hydrologie"
"vegetation"
"sedimente"
"mittleren"
"untergrund"
"aufgrund"
"homogenen"
"et"
"al"
"charakteristisch"
"flachgrundigen"
"geringe"
"serspeichervermogen"
"vielfach"
"starker"
"austrocknungstendenz"
"landschaft"
"verstarkt"
"erweitert"
"luft"
"tierwelt"
"funktions"
"ressourcen"
"unvermeidbaren"
"be"
"reduziert"
"funktionen"
"funktion"
"archiv"
"freiraumsicherung"
"freiraumfunktionen"
"basisch"
"verwitterndem"
"ausgangsgestein"
"flach"
"tiefgrundigen"
"mahd"
"schafbeweidung"
"halbtrockenrasen"
"ortes"
"handelt"
"tiefgrundigeren"
"fall"
"genutzt"
"gange"
"offenen"
"beschatteten"
"frischen"
"bereichen"
"ragende"
"felsen"
"erfasst"
"mindestanforderung"
"lrteinstufung"
"trockene"
"stark"
"gemieden"
"dienen"
"lichte"
"halbschattige"
"niedrigen"
"suchflug"
"erlauscht"
"anschlieszend"
"blattwerk"
"aufgenommen"
"bestand"
"beutetiere"
"schmetterlingsraupen"
"direkt"
"ground"
"gleaner"
"genutzten"
"frisch"
"abgeerntete"
"hohen"
"anteil"
"gejagt"
"liechtenstein"
"zeigen"
"ubersichtskarte"
"frauenpriesznitzer"
"holz"
"laase"
"abhuman"
"ausschlieszlich"
"steinige"
"unteren"
"gepragt"
"entsprechend"
"untergrundes"
"lassen"
"durchlassigkeiten"
"mehrere"
"relativ"
"bedingungen"
"steiniger"
"thuringer"
"landesanstcharacteristic"
"hg"
"thuringens"
"geowissenschaftliche"
"mitteilungen"
"beiheft"
"flurabstand"
"hingegen"
"meter"
"tlug"
"quellen"
"fis"
"abruf"
"kartengrundlage"
"digitale"
"topographische"
"sonstige"
"wertgebende"
"tiere"
"eingriffskompensationskataster"
"ekis"
"fundpunkte"
"kartendienst"
"geothermie"
"online"
"forst"
"nachhcharacteristic"
"orientiert"
"gebieten"
"grundsatzen"
"guten"
"fachlichen"
"praxis"
"mehreren"
"lichtes"
"kronendach"
"nahe"
"frauenschuhvorkommen"
"bestaubung"
"erforderlichen"
"wildfutterungen"
"wildkirrungen"
"frauenschuhvor"
"pionierfluren"
"haufig"
"kleinflachig"
"anzutreffen"
"sichtlich"
"steilheit"
"exposition"
"b"
"thuringenforst"
"forstverwcharacteristic"
"treuhand"
"verwcharacteristic"
"gmbh"
"bundesanstcharacteristic"
"vereinigungsbedingte"
"sonderaufgaben"
"maszig"
"feinerdearme"
"voraussetzungen"
"vorkommen"
"innerhalb"
"sommertage"
"prognose"
"nahezu"
"verdoppelt"
"abb"
"karte"
"nr"
"vorhanden"
"typischen"
"wuchsorte"
"gekennzeichnet"
"hydromorphe"
"gelegentlicher"
"regelmasziger"
"kurzzeitiger"
"regional"
"herausgehobene"
"okologische"
"felshumanen"
"blockschutthalden"
"fb"
"offenland"
"baumfreie"
"arme"
"offenlandbiotope"
"sauren"
"mooren"
"ubergange"
"zwergstrauchheiden"
"staunassen"
"sogar"
"kleinseggenrasen"
"entstanden"
"ertragsarmen"
"zeugen"
"historischer"
"nutzungsformen"
"dar"
"variiert"
"artenarmen"
"maszgeblich"
"namengebenden"
"mittelgebirgen"
"tieflagen"
"ausgehagerten"
"verbreitet"
"folgejahren"
"form"
"nutzung"
"fast"
"schwach"
"gedungten"
"ebene"
"submontanen"
"zone"
"gefasst"
"blutenreich"
"september"
"hautung"
"verlasst"
"raupe"
"futterpflanze"
"myrmica"
"rubra"
"aufgelesen"
"siedlungsdichten"
"ha"
"versteckt"
"baumen"
"angelegt"
"vrl"
"huschen"
"schnellen"
"flachen"
"sprungen"
"verharren"
"erhohungen"
"knicksenden"
"bewegungen"
"langsamem"
"fuhrte"
"aushagerung"
"schuf"
"wesentlichen"
"etablierung"
"trockenen"
"narben"
"gerat"
"hinreichend"
"trockenem"
"ausgefuhrt"
"nlwkn"
"optimal"
"sicher"
"uberall"
"maschinell"
"auspragungen"
"vertragen"
"landesamt"
"thuringen"
"url"
"httpwwwtlugjenadeimperiamdcontenttlugabtbdeninthringenpdf"
"letzter"
"zugriff"
"sudlich"
"durfte"
"jungerer"
"vergangenheit"
"folge"
"grund"
"entwicklung"
"zwergstrauchheide"
"ehemaligen"
"stattfindende"
"beweidung"
"fortgefuhrt"
"geplant"
"lrtflache"
"vergroszern"
"gelegenen"
"bestande"
"etabliert"
"lasst"
"intensiver"
"vierschuriger"
"rinderbeweidung"
"zuruckdrangen"
"schuhmacher"
"dengler"
"wobei"
"bedarf"
"anhand"
"regelmaszig"
"wiederholenden"
"entzugsbilanzen"
"ermittelt"
"dungung"
"stallmist"
"voraussetzung"
"berechnung"
"grundlage"
"aktueller"
"heublumen"
"gebietsheimi"
"lrt"
"weist"
"auspragung"
"wertstufe"
"vollstandigkeit"
"quantitat"
"schattbaumarten"
"breite"
"ca"
"verzicht"
"einsatz"
"forstmaschinen"
"gelegentliche"
"starke"
"vollstandig"
"verjungung"
"heidekrauts"
"ermoglicht"
"geholzbestand"
"positiver"
"nebeneffekt"
"hierbei"
"forderung"
"ephemerer"
"franke"
"bayer"
"felswande"
"steinbruche"
"freien"
"anflug"
"baum"
"vereinzelt"
"herbstbalz"
"va"
"entzugsorientiert"
"regelmaszigen"
"floristischen"
"begleitet"
"neigung"
"moorflache"
"selber"
"weiterhin"
"faktoren"
"abhangigkeit"
"sinnvoll"
"sumpfe"
"tuellen"
"bo"
"angrenzenden"
"mindestbreite"
"breit"
"aktuellen"
"grenzenden"
"gewisser"
"buchenfahigen"
"mittlerer"
"reprasentieren"
"uberwiegend"
"intensitat"
"unterschiedlich"
"magere"
"aushumanen"
"silikatischen"
"stellenweise"
"beweidungsintensitat"
"aufwuchsmenge"
"vorherrschenden"
"bsw"
"anzupassen"
"toorfmossreiche"
"plaggen"
"schoppern"
"entstehenden"
"keimbedingungen"
"calluna"
"bieten"
"mindestens"
"chen"
"teilbereichen"
"jager"
"beachten"
"fs"
"fehlenden"
"schwimmblase"
"besitzt"
"art"
"lebensweise"
"besiedelt"
"sommerkcharacteristic"
"henning"
"biospharenreservat"
"karstlandschaft"
"sudharz"
"artenzusammensetzung"
"futterwert"
"vortrag"
"rahmen"
"herbsttagung"
"bedeutung"
"hinaus"
"spielt"
"angepasste"
"vegetationskomplexe"
"bedeutende"
"rolle"
"grunlands"
"mitteleuropas"
"darstellung"
"kontext"
"hinblick"
"arten"
"landschaftsplanung"
"bevorzugt"
"verbissene"
"eliminiert"
"suboptimal"
"rindern"
"pferden"
"vorwiegend"
"anthropozoogene"
"schafen"
"ziegen"
"biotoptyp"
"vermutlich"
"mittelcharacteristic"
"infolge"
"lichtung"
"weidenutzung"
"pilosella"
"habichtskraut"
"hinzu"
"typische"
"vertreter"
"magerrasen"
"potentilla"
"erecta"
"blutwurz"
"polygala"
"verstehen"
"planarer"
"montaner"
"lage"
"anstelle"
"wachsen"
"struktur"
"resultiert"
"bonnbad"
"godesberg"
"steidl"
"ringler"
"magerrasenlandschaftspflegekonzept"
"bayern"
"band"
"alpeninstitut"
"bremen"
